# loss	acc	val_loss	val_acc
6.257639756278385867e+00	6.004761916304391933e-01	6.536783112419976227e+00	5.944444470935397185e-01
6.121080133650037780e+00	6.158730151161314614e-01	6.536783112419976227e+00	5.944444470935397185e-01
6.184534595126197409e+00	6.034920622432042858e-01	6.536783112419976227e+00	5.944444470935397185e-01
5.845233924805172343e+00	6.157142832165672930e-01	6.536783112419976227e+00	5.944444470935397185e-01
5.424515417643955395e+00	6.153968246210188564e-01	6.536783112419976227e+00	5.944444470935397185e-01
5.426131449048480881e+00	6.173015880206275119e-01	6.536783112419976227e+00	5.944444470935397185e-01
5.459818253441462765e+00	6.192063471627613502e-01	6.536783112419976227e+00	5.944444470935397185e-01
5.450600003439282304e+00	6.193650790623256297e-01	6.536783112419976227e+00	5.944444470935397185e-01
5.483572592810978641e+00	6.195238100157843819e-01	6.536783112419976227e+00	5.944444470935397185e-01
5.430299880012633196e+00	6.200000000378441678e-01	6.536783112419976227e+00	5.944444470935397185e-01
5.408900412302168448e+00	6.193650790623256297e-01	6.536783112419976227e+00	5.944444470935397185e-01
