A	0	0	1	0
C	0	0	1	0
D	1	0	0	0
E	1	0	0	0
F	0	0	1	0
G	0	0	1	0
H	0	1	0	0
I	0	0	1	0
K	0	1	0	0
L	0	0	1	0
M	0	0	1	0
N	0	0	0	1
P	0	0	1	0
Q	0	0	0	1
R	0	1	0	0
S	0	0	0	1
T	0	0	0	1
V	0	0	1	0
W	0	0	1	0
Y	0	0	0	1
U	0	0	1	0
O	0	1	0	0
