antibody_id,tissue_name,cellular_component,level_a,level_b,level_c
34495,A-431,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
34495,U-2 OS,Cytosol,cytosol,cytosol,cytoplasm
34495,U-2 OS,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
34495,U-251 MG,Centrosome,centrosome,microtubule_organizing_center,filaments
34495,U-251 MG,Cytosol,cytosol,cytosol,cytoplasm
34495,U-251 MG,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
34496,A-431,Golgi_apparatus,golgi_apparatus,golgi_apparatus,secretory
34496,U-2 OS,Golgi_apparatus,golgi_apparatus,golgi_apparatus,secretory
34496,U-251 MG,Golgi_apparatus,golgi_apparatus,golgi_apparatus,secretory
34497,A-431,Golgi_apparatus,golgi_apparatus,golgi_apparatus,secretory
34497,U-2 OS,Golgi_apparatus,golgi_apparatus,golgi_apparatus,secretory
34497,U-251 MG,Golgi_apparatus,golgi_apparatus,golgi_apparatus,secretory
34498,A-431,Mitochondria,mitochondria,mitochondria,cytoplasm
34498,U-2 OS,Mitochondria,mitochondria,mitochondria,cytoplasm
34498,U-251 MG,Mitochondria,mitochondria,mitochondria,cytoplasm
34500,A-431,Nucleoli,nucleoli,nucleoli,nucleoli
34500,U-2 OS,Nucleoli,nucleoli,nucleoli,nucleoli
34500,U-251 MG,Nucleoli,nucleoli,nucleoli,nucleoli
34502,A-431,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
34502,U-2 OS,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
34502,U-251 MG,Cytosol,cytosol,cytosol,cytoplasm
34502,U-251 MG,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
34503,A-431,Cytosol,cytosol,cytosol,cytoplasm
34503,A-431,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
34503,U-2 OS,Cytosol,cytosol,cytosol,cytoplasm
34503,U-2 OS,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
34503,U-251 MG,Cytosol,cytosol,cytosol,cytoplasm
34503,U-251 MG,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
34504,A-431,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
34504,U-2 OS,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
34504,U-251 MG,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
34506,A-431,Cytosol,cytosol,cytosol,cytoplasm
34506,A-431,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
34506,U-2 OS,Cytosol,cytosol,cytosol,cytoplasm
34506,U-2 OS,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
34506,U-251 MG,Cytosol,cytosol,cytosol,cytoplasm
34506,U-251 MG,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
34508,A-431,Cytosol,cytosol,cytosol,cytoplasm
