antibody_id,tissue_name,cellular_component,level_a,level_b,level_c
34987,U-2 OS,Plasma_membrane,plasma_membrane,plasma_membrane,plasma_membrane
34987,U-251 MG,Cytosol,cytosol,cytosol,cytoplasm
34987,U-251 MG,Plasma_membrane,plasma_membrane,plasma_membrane,plasma_membrane
34989,A-431,Cytosol,cytosol,cytosol,cytoplasm
34989,A-431,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
34989,U-2 OS,Cytosol,cytosol,cytosol,cytoplasm
34989,U-2 OS,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
34989,U-251 MG,Cytosol,cytosol,cytosol,cytoplasm
34989,U-251 MG,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
34990,A-431,Cytosol,cytosol,cytosol,cytoplasm
34990,U-2 OS,Cytosol,cytosol,cytosol,cytoplasm
34990,U-2 OS,Golgi_apparatus,golgi_apparatus,golgi_apparatus,secretory
34990,U-2 OS,Vesicles,vesicles,vesicles,secretory
34990,U-251 MG,Cytosol,cytosol,cytosol,cytoplasm
34990,U-251 MG,Nucleus,nucleus,nucleoplasm,nucleus
34991,A-431,Cytosol,cytosol,cytosol,cytoplasm
34991,A-431,Golgi_apparatus,golgi_apparatus,golgi_apparatus,secretory
34991,U-2 OS,Cytosol,cytosol,cytosol,cytoplasm
34991,U-2 OS,Golgi_apparatus,golgi_apparatus,golgi_apparatus,secretory
34991,U-2 OS,Vesicles,vesicles,vesicles,secretory
34991,U-251 MG,Cytosol,cytosol,cytosol,cytoplasm
34991,U-251 MG,Golgi_apparatus,golgi_apparatus,golgi_apparatus,secretory
34991,U-251 MG,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
34992,A-431,Cell_Junctions,cell_junctions,plasma_membrane,plasma_membrane
34992,A-431,Plasma_membrane,plasma_membrane,plasma_membrane,plasma_membrane
34992,U-2 OS,Plasma_membrane,plasma_membrane,plasma_membrane,plasma_membrane
34992,U-251 MG,Plasma_membrane,plasma_membrane,plasma_membrane,plasma_membrane
34994,A-431,Microtubules,microtubules,microtubules,filaments
34994,U-2 OS,Microtubules,microtubules,microtubules,filaments
34994,U-251 MG,Microtubules,microtubules,microtubules,filaments
34996,A-431,Cytosol,cytosol,cytosol,cytoplasm
34996,A-431,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
34996,U-2 OS,Cytosol,cytosol,cytosol,cytoplasm
34996,U-2 OS,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
34997,A-431,Cytosol,cytosol,cytosol,cytoplasm
34997,PC-3,Cytosol,cytosol,cytosol,cytoplasm
34997,U-2 OS,Cytosol,cytosol,cytosol,cytoplasm
34998,A-431,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
34998,U-251 MG,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
35000,A-431,Cytosol,cytosol,cytosol,cytoplasm
35000,A-431,Nuclear_membrane,nuclear_membrane,nuclear_membrane,nucleus
35000,A-431,Nucleus,nucleus,nucleoplasm,nucleus
35000,U-2 OS,Cytosol,cytosol,cytosol,cytoplasm
35000,U-251 MG,Cytosol,cytosol,cytosol,cytoplasm
35000,U-251 MG,Nuclear_membrane,nuclear_membrane,nuclear_membrane,nucleus
35000,U-251 MG,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
35004,A-431,Cytosol,cytosol,cytosol,cytoplasm
35004,A-431,Nucleus,nucleus,nucleoplasm,nucleus
35004,U-2 OS,Nucleus,nucleus,nucleoplasm,nucleus
35004,U-251 MG,Cytosol,cytosol,cytosol,cytoplasm
35004,U-251 MG,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
35006,A-431,Cytosol,cytosol,cytosol,cytoplasm
35006,A-431,Plasma_membrane,plasma_membrane,plasma_membrane,plasma_membrane
35006,U-2 OS,Cytosol,cytosol,cytosol,cytoplasm
35006,U-2 OS,Plasma_membrane,plasma_membrane,plasma_membrane,plasma_membrane
35006,U-251 MG,Cytosol,cytosol,cytosol,cytoplasm
35006,U-251 MG,Plasma_membrane,plasma_membrane,plasma_membrane,plasma_membrane
35010,A-431,Mitochondria,mitochondria,mitochondria,cytoplasm
35010,U-2 OS,Mitochondria,mitochondria,mitochondria,cytoplasm
35010,U-251 MG,Mitochondria,mitochondria,mitochondria,cytoplasm
35011,A-431,Nucleus,nucleus,nucleoplasm,nucleus
35011,U-2 OS,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
35011,U-251 MG,Nuclear_bodies,nuclear_bodies,nuclear_bodies,nucleus
35011,U-251 MG,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
35013,A-431,Centrosome,centrosome,microtubule_organizing_center,filaments
35013,A-431,Cytosol,cytosol,cytosol,cytoplasm
35013,A-431,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
35013,U-2 OS,Centrosome,centrosome,microtubule_organizing_center,filaments
35013,U-2 OS,Cytosol,cytosol,cytosol,cytoplasm
35013,U-2 OS,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
35013,U-251 MG,Centrosome,centrosome,microtubule_organizing_center,filaments
35013,U-251 MG,Cytosol,cytosol,cytosol,cytoplasm
35013,U-251 MG,Plasma_membrane,plasma_membrane,plasma_membrane,plasma_membrane
35014,A-431,Cytosol,cytosol,cytosol,cytoplasm
35014,A-431,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
35014,A-431,Plasma_membrane,plasma_membrane,plasma_membrane,plasma_membrane
35014,HeLa,Cytosol,cytosol,cytosol,cytoplasm
35014,HeLa,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
35014,HeLa,Plasma_membrane,plasma_membrane,plasma_membrane,plasma_membrane
35014,U-2 OS,Cytosol,cytosol,cytosol,cytoplasm
35014,U-2 OS,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
35014,U-2 OS,Plasma_membrane,plasma_membrane,plasma_membrane,plasma_membrane
35015,A-431,Nuclear_bodies,nuclear_bodies,nuclear_bodies,nucleus
35015,A-431,Nucleus,nucleus,nucleoplasm,nucleus
35015,U-2 OS,Nucleus,nucleus,nucleoplasm,nucleus
35015,U-251 MG,Nuclear_bodies,nuclear_bodies,nuclear_bodies,nucleus
35015,U-251 MG,Nucleus,nucleus,nucleoplasm,nucleus
35017,A-431,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
35017,U-2 OS,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
35017,U-2 OS,Vesicles,vesicles,vesicles,secretory
35017,U-251 MG,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
35019,A-431,Nucleoli,nucleoli,nucleoli,nucleoli
35019,A-431,Nucleus,nucleus,nucleoplasm,nucleus
35019,U-2 OS,Nucleoli,nucleoli,nucleoli,nucleoli
35019,U-2 OS,Nucleus,nucleus,nucleoplasm,nucleus
35019,U-251 MG,Nucleoli,nucleoli,nucleoli,nucleoli
35019,U-251 MG,Nucleus,nucleus,nucleoplasm,nucleus
35022,A-431,Cytosol,cytosol,cytosol,cytoplasm
35022,A-431,Nucleoli,nucleoli,nucleoli,nucleoli
35022,U-2 OS,Cytosol,cytosol,cytosol,cytoplasm
35022,U-251 MG,Cytosol,cytosol,cytosol,cytoplasm
35022,U-251 MG,Nucleoli,nucleoli,nucleoli,nucleoli
35023,U-2 OS,Cytosol,cytosol,cytosol,cytoplasm
35023,U-2 OS,Plasma_membrane,plasma_membrane,plasma_membrane,plasma_membrane
35023,U-251 MG,Cytosol,cytosol,cytosol,cytoplasm
35028,A-431,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
35028,PC-3,Nuclear_bodies,nuclear_bodies,nuclear_bodies,nucleus
35028,PC-3,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
35028,U-2 OS,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
35029,Hep G2,Cytosol,cytosol,cytosol,cytoplasm
35029,Hep G2,Nucleoli_fibrillar_center,nucleoli_fibrillar_center,nucleoli,nucleoli
35029,U-2 OS,Cytosol,cytosol,cytosol,cytoplasm
35029,U-2 OS,Nucleoli_fibrillar_center,nucleoli_fibrillar_center,nucleoli,nucleoli
35029,U-251 MG,Cytosol,cytosol,cytosol,cytoplasm
35029,U-251 MG,Nucleoli_fibrillar_center,nucleoli_fibrillar_center,nucleoli,nucleoli
35033,A-431,Cytosol,cytosol,cytosol,cytoplasm
35033,A-431,Plasma_membrane,plasma_membrane,plasma_membrane,plasma_membrane
35033,U-2 OS,Cytosol,cytosol,cytosol,cytoplasm
35033,U-251 MG,Cytosol,cytosol,cytosol,cytoplasm
35033,U-251 MG,Plasma_membrane,plasma_membrane,plasma_membrane,plasma_membrane
35034,A-431,Cytosol,cytosol,cytosol,cytoplasm
35034,U-2 OS,Cytosol,cytosol,cytosol,cytoplasm
35034,U-251 MG,Cytosol,cytosol,cytosol,cytoplasm
35036,AF22,Golgi_apparatus,golgi_apparatus,golgi_apparatus,secretory
35036,U-2 OS,Golgi_apparatus,golgi_apparatus,golgi_apparatus,secretory
35036,U-2 OS,Vesicles,vesicles,vesicles,secretory
35036,U-251 MG,Golgi_apparatus,golgi_apparatus,golgi_apparatus,secretory
35036,U-251 MG,Vesicles,vesicles,vesicles,secretory
35040,A-431,Cell_Junctions,cell_junctions,plasma_membrane,plasma_membrane
35040,A-431,Nucleus,nucleus,nucleoplasm,nucleus
35040,HEK 293,Aggresome,aggresome,cytoplasmic_bodies,cytoplasm
35040,HEK 293,Cell_Junctions,cell_junctions,plasma_membrane,plasma_membrane
35040,HEK 293,Nucleus,nucleus,nucleoplasm,nucleus
35040,U-2 OS,Nucleus,nucleus,nucleoplasm,nucleus
35040,U-2 OS,Plasma_membrane,plasma_membrane,plasma_membrane,plasma_membrane
35041,A-431,Cytosol,cytosol,cytosol,cytoplasm
35041,A-431,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
35041,HEK 293,Cytosol,cytosol,cytosol,cytoplasm
35041,HEK 293,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
35041,U-2 OS,Cytosol,cytosol,cytosol,cytoplasm
35041,U-2 OS,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
35046,A-431,Cytosol,cytosol,cytosol,cytoplasm
35046,A-431,Vesicles,vesicles,vesicles,secretory
35046,U-2 OS,Cytosol,cytosol,cytosol,cytoplasm
35046,U-251 MG,Cytosol,cytosol,cytosol,cytoplasm
35048,A-431,Cytosol,cytosol,cytosol,cytoplasm
35048,A-431,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
35048,U-2 OS,Cytosol,cytosol,cytosol,cytoplasm
35048,U-2 OS,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
35048,U-251 MG,Cytosol,cytosol,cytosol,cytoplasm
35048,U-251 MG,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
35050,A-431,Cytosol,cytosol,cytosol,cytoplasm
35050,A-431,Nucleoli,nucleoli,nucleoli,nucleoli
