# loss	acc	val_loss	val_acc
6.130413729047018201e+00	6.174603156627170852e-01	6.536783112419976227e+00	5.944444470935397185e-01
6.124876362936837459e+00	6.200000009839496951e-01	6.536783112419976227e+00	5.944444470935397185e-01
6.124876408349900103e+00	6.199999943612113373e-01	6.536783112419976227e+00	5.944444470935397185e-01
6.124876461331806077e+00	6.200000009839496951e-01	6.536783112419976227e+00	5.944444470935397185e-01
6.124876431056430981e+00	6.199999981456332243e-01	6.536783112419976227e+00	5.944444470935397185e-01
6.124876332661462364e+00	6.199999995647914597e-01	6.536783112419976227e+00	5.944444470935397185e-01
6.124876378074525007e+00	6.200000005108969869e-01	6.536783112419976227e+00	5.944444470935397185e-01
6.124876423487587651e+00	6.200000019300551113e-01	6.536783112419976227e+00	5.944444470935397185e-01
6.124876370505680789e+00	6.200000000378441678e-01	6.536783112419976227e+00	5.944444470935397185e-01
6.124876385643368337e+00	6.199999990917387516e-01	6.536783112419976227e+00	5.944444470935397185e-01
6.124876431056430981e+00	6.199999990917387516e-01	6.536783112419976227e+00	5.944444470935397185e-01
