# loss	acc	val_loss	val_acc
6.900553009510418390e-01	6.083029614275371477e-01	6.626400782369457065e-01	6.230598563894199637e-01
6.655960167158879726e-01	6.174932686921024150e-01	6.635819829488276422e-01	6.230598563894199637e-01
6.655226258218354118e-01	6.174932652259473853e-01	6.636862794470099747e-01	6.230598563894199637e-01
6.655858703638819485e-01	6.174932674359754348e-01	6.646420160048288617e-01	6.230598563894199637e-01
6.657726568987584193e-01	6.174932675918106684e-01	6.636907570642271992e-01	6.230598563894199637e-01
6.657030518488278314e-01	6.174932636487051596e-01	6.625462935663379849e-01	6.230598563894199637e-01
6.656133598258275885e-01	6.174932629686965546e-01	6.625467955141004506e-01	6.230598563894199637e-01
6.656526960768992529e-01	6.174932629686965546e-01	6.625462124194380076e-01	6.230598563894199637e-01
6.654885338822704721e-01	6.174932653298376151e-01	6.627365169662593480e-01	6.230598563894199637e-01
6.655167031356147289e-01	6.174932642814909833e-01	6.625741911172338128e-01	6.230598563894199637e-01
6.656031857729146628e-01	6.174932683709872805e-01	6.625547102443923864e-01	6.230598563894199637e-01
6.655014282624593935e-01	6.174932664820743655e-01	6.625708056791393963e-01	6.230598563894199637e-01
6.655822871245515859e-01	6.174932669590248446e-01	6.627990155420916407e-01	6.230598563894199637e-01
6.655396240540680797e-01	6.174932622367428348e-01	6.629156989691791235e-01	6.230598563894199637e-01
6.654724318164026986e-01	6.174932681632068210e-01	6.625664719192522201e-01	6.230598563894199637e-01
6.655635567781306161e-01	6.174932642814909833e-01	6.626863176965396285e-01	6.230598563894199637e-01
6.654900536637660124e-01	6.174932650701120407e-01	6.630284736663961676e-01	6.230598563894199637e-01
6.654584043340663335e-01	6.174932661704037873e-01	6.630778126996794697e-01	6.230598563894199637e-01
