antibody_id,ensg_id,level_c,prest_id
56420,ENSG00000145741,cytoplasm,3940038
56424,ENSG00000007392,nucleus,3920004
56461,ENSG00000139433,cytoplasm,3830250
56484,ENSG00000067057,cytoplasm,3860241
56496,ENSG00000090621,cytoplasm,3870191
56500,ENSG00000100162,cytoplasm,3870243
56518,ENSG00000088247,nucleus,3870109
56523,ENSG00000100650,nucleus,3870266
56525,ENSG00000080839,nucleus,3870024
56542,ENSG00000134013,nucleus,3890646
56566,ENSG00000174325,cytoplasm,3830454
56596,ENSG00000198060,cytoplasm,2150320
56599,ENSG00000173085,cytoplasm,2180233
56606,ENSG00000189308,cytoplasm,3460835
56616,ENSG00000179023,nucleus,3790095
56646,ENSG00000187866,nucleus,3790465
56649,ENSG00000269858,nucleus,3920213
56669,ENSG00000161920,nucleus,2500703
56696,ENSG00000214753,nucleus,3051183
56756,ENSG00000204569,nucleus,3340399
56783,ENSG00000136144,nucleus,3890739
56786,ENSG00000133884,nucleus,3890698
56795,ENSG00000134056,cytoplasm,3890694
56813,ENSG00000121774,nucleus,3890333
56814,ENSG00000160799,nucleus,3460332
56820,ENSG00000152795,nucleus,3760415
56832,ENSG00000224051,cytoplasm,3920322
56837,ENSG00000147459,cytoplasm,3940005
56871,ENSG00000137203,nucleus,3890855
56873,ENSG00000143811,cytoplasm,3960012
56875,ENSG00000025772,cytoplasm,3860075
56895,ENSG00000167685,nucleus,3960016
56896,ENSG00000197905,nucleus,3770005
56900,ENSG00000128645,nucleus,3890526
56902,ENSG00000127334,nucleus,3890501
56915,ENSG00000185085,nucleus,3050956
56919,ENSG00000188488,cytoplasm,3790536
56926,ENSG00000115875,nucleus,3890133
56958,ENSG00000170577,nucleus,3830380
56962,ENSG00000221843,nucleus,3400443
56965,ENSG00000115844,nucleus,3890158
56971,ENSG00000160318,nucleus,3920228
56974,ENSG00000164236,cytoplasm,3460436
56987,ENSG00000178695,cytoplasm,3610121
56994,ENSG00000171848,cytoplasm,3420252
57000,ENSG00000083093,nucleus,3150052
57051,ENSG00000126860,nucleus,3890422
57067,ENSG00000239779,cytoplasm,3790921
57070,ENSG00000147596,nucleus,3940016
57076,ENSG00000087510,nucleus,3830045
57088,ENSG00000141485,nucleus,3930113
57089,ENSG00000145779,nucleus,3940060
57116,ENSG00000136478,nucleus,3890898
57127,ENSG00000143603,nucleus,3930232
57128,ENSG00000143179,nucleus,3930241
57149,ENSG00000109065,nucleus,3880261
57160,ENSG00000127419,nucleus,3890489
57253,ENSG00000152784,nucleus,2130014
57265,ENSG00000167325,cytoplasm,2460044
57266,ENSG00000084774,nucleus,2460008
57269,ENSG00000107290,nucleus,2470123
57285,ENSG00000131153,nucleus,1390036
57299,ENSG00000164941,nucleus,2540484
57303,ENSG00000122008,nucleus,1470051
57305,ENSG00000116580,nucleus,2550342
57316,ENSG00000100554,nucleus,2850061
57320,ENSG00000132321,nucleus,2920442
57339,ENSG00000187079,nucleus,2860034
57345,ENSG00000172465,nucleus,2810192
57366,ENSG00000170500,nucleus,2930400
57372,ENSG00000182872,nucleus,2810218
57379,ENSG00000119771,cytoplasm,2920341
57381,ENSG00000138606,nucleus,2970070
57387,ENSG00000101084,cytoplasm,2990029
57416,ENSG00000016082,nucleus,3060043
57501,ENSG00000145833,nucleus,3010322
57502,ENSG00000113312,cytoplasm,3010085
57519,ENSG00000137720,nucleus,3050343
57531,ENSG00000161021,nucleus,3010432
57547,ENSG00000048649,nucleus,3050010
57549,ENSG00000107669,nucleus,3020108
57564,ENSG00000196865,nucleus,3020804
57571,ENSG00000148840,nucleus,3020401
57660,ENSG00000102977,nucleus,3150025
57685,ENSG00000174547,cytoplasm,3590018
57719,ENSG00000189362,nucleus,1952252
57732,ENSG00000224877,cytoplasm,3560216
57754,ENSG00000090097,cytoplasm,3720355
57768,ENSG00000183513,cytoplasm,3400283
57799,ENSG00000124795,nucleus,3730403
57803,ENSG00000128045,nucleus,3730453
57814,ENSG00000132329,nucleus,3730564
57824,ENSG00000139977,cytoplasm,3760224
57911,ENSG00000163660,nucleus,2960556
57975,ENSG00000100365,cytoplasm,2800095
57979,ENSG00000178694,nucleus,2960907
57980,ENSG00000075914,nucleus,2960110
57988,ENSG00000131370,nucleus,2960234
58014,ENSG00000145029,nucleus,2960372
58025,ENSG00000138050,nucleus,2920513
58028,ENSG00000155729,cytoplasm,2930226
58032,ENSG00000164077,cytoplasm,2960602
58036,ENSG00000102901,nucleus,3160068
58040,ENSG00000143970,nucleus,2930061
58047,ENSG00000080224,nucleus,2960892
58073,ENSG00000234602,nucleus,3680385
58076,ENSG00000162430,cytoplasm,3410231
58086,ENSG00000123453,cytoplasm,2470212
58112,ENSG00000146067,nucleus,2640133
58113,ENSG00000114023,cytoplasm,2960079
58119,ENSG00000156463,nucleus,3010419
58122,ENSG00000138750,nucleus,3000252
58132,ENSG00000071127,cytoplasm,3000038
58134,ENSG00000113558,nucleus,3010110
58136,ENSG00000259956,nucleus,2960920
58154,ENSG00000182923,nucleus,2960777
58157,ENSG00000153404,nucleus,3010407
58180,ENSG00000184432,cytoplasm,2960803
58185,ENSG00000090316,nucleus,3000077
58209,ENSG00000127220,nucleus,2880062
58220,ENSG00000118193,cytoplasm,2640083
58275,ENSG00000114738,nucleus,3730120
58304,ENSG00000143256,cytoplasm,3930234
58349,ENSG00000155545,nucleus,3950080
58356,ENSG00000172183,nucleus,4030306
58368,ENSG00000166439,nucleus,3050610
58377,ENSG00000088836,nucleus,3870111
58379,ENSG00000087087,nucleus,3870160
58387,ENSG00000020256,nucleus,3860080
58396,ENSG00000124191,nucleus,3300264
58401,ENSG00000165071,cytoplasm,2050362
58407,ENSG00000134748,nucleus,2550794
58416,ENSG00000175197,nucleus,2990199
58429,ENSG00000148057,cytoplasm,3940189
58450,ENSG00000198563,nucleus,3920349
58518,ENSG00000125968,nucleus,3730404
58534,ENSG00000105619,nucleus,3880093
58554,ENSG00000135899,nucleus,3500115
58590,ENSG00000183963,nucleus,3610168
58593,ENSG00000105993,nucleus,3880181
58612,ENSG00000133226,nucleus,3640044
58623,ENSG00000164978,nucleus,3970295
58631,ENSG00000163607,cytoplasm,3970250
58641,ENSG00000143995,nucleus,3980106
58653,ENSG00000118007,nucleus,2960217
58656,ENSG00000163069,cytoplasm,1951406
58665,ENSG00000005513,nucleus,3860003
58707,ENSG00000153187,nucleus,2990139
58709,ENSG00000161267,cytoplasm,3970059
58765,ENSG00000173599,cytoplasm,3050782
58777,ENSG00000111110,nucleus,3070173
58792,ENSG00000091490,nucleus,3140187
58820,ENSG00000089234,cytoplasm,3070149
58827,ENSG00000175352,cytoplasm,3050862
58829,ENSG00000142102,cytoplasm,3050406
58846,ENSG00000077514,nucleus,3050027
58847,ENSG00000157796,nucleus,3000381
58863,ENSG00000081059,nucleus,3140143
58874,ENSG00000100526,cytoplasm,3140249
58899,ENSG00000213638,nucleus,3280614
58900,ENSG00000122678,nucleus,3730350
