level_b,ensg_id,gene_name,uniprot_id
nucleoplasm,ENSG00000003756,RBM5,P52756
cytosol,ENSG00000133106,EPSTI1,Q96J88
cytosol,ENSG00000159267,HLCS,P50747
cytosol,ENSG00000110931,CAMKK2,Q96RR4
cytosol,ENSG00000204574,ABCF1,Q8NE71
cytosol,ENSG00000135317,SNX14,Q9Y5W7
cytosol,ENSG00000147459,DOCK5,Q9H7D0
cytosol,ENSG00000141161,UNC45B,Q8IWX7
cytosol,ENSG00000106105,GARS,P41250
nucleoplasm,ENSG00000060491,OGFR,Q9NZT2
nucleoplasm,ENSG00000142867,BCL10,O95999
cytosol,ENSG00000158019,BRE,Q9NXR7
cytosol,ENSG00000107968,MAP3K8,P41279
cytosol,ENSG00000138760,SCARB2,Q14108
cytosol,ENSG00000142166,IFNAR1,P17181
cytosol,ENSG00000176018,LYSMD3,Q7Z3D4
cytosol,ENSG00000105929,ATP6V0A4,Q9HBG4
nucleoplasm,ENSG00000143028,SYPL2,Q5VXT5
cytosol,ENSG00000197136,PCNXL3,Q9H6A9
cytosol,ENSG00000151239,TWF1,Q12792
cytosol,ENSG00000135387,CAPRIN1,Q14444
nucleoplasm,ENSG00000174669,SLC29A2,Q14542
nucleoplasm,ENSG00000105173,CCNE1,P24864
cytosol,ENSG00000130766,SESN2,P58004
nucleoplasm,ENSG00000151414,NEK7,Q8TDX7
nucleoplasm,ENSG00000070761,CFAP20,Q9Y6A4
nucleoplasm,ENSG00000183128,CALHM3,Q86XJ0
cytosol,ENSG00000169118,CSNK1G1,Q9HCP0
nucleoplasm,ENSG00000133878,DUSP26,Q9BV47
nucleoplasm,ENSG00000198105,ZNF248,Q8NDW4
cytosol,ENSG00000114416,FXR1,P51114
nucleoplasm,ENSG00000185104,FAF1,Q9UNN5
cytosol,ENSG00000204842,ATXN2,Q99700
cytosol,ENSG00000138757,G3BP2,Q9UN86
nucleoplasm,ENSG00000156304,SCAF4,O95104
cytosol,ENSG00000164022,AIMP1,Q12904
nucleoplasm,ENSG00000113761,ZNF346,Q9UL40
nucleoplasm,ENSG00000170345,FOS,P01100
nucleoplasm,ENSG00000136518,ACTL6A,O96019
cytosol,ENSG00000100288,CHKB,Q9Y259
cytosol,ENSG00000089154,GCN1,Q92616
cytosol,ENSG00000062598,ELMO2,Q96JJ3
cytosol,ENSG00000187792,ZNF70,Q9UC06
cytosol,ENSG00000168522,FNTA,P49354
cytosol,ENSG00000128342,LIF,P15018
nucleoplasm,ENSG00000168066,SF1,Q15637
cytosol,ENSG00000166681,NGFRAP1,Q00994
nucleoplasm,ENSG00000160408,ST6GALNAC6,Q969X2
nucleoplasm,ENSG00000159692,CTBP1,Q13363
cytosol,ENSG00000111716,LDHB,P07195
nucleoplasm,ENSG00000106400,ZNHIT1,O43257
cytosol,ENSG00000108091,CCDC6,Q16204
cytosol,ENSG00000138698,RAP1GDS1,P52306
cytosol,ENSG00000008226,DLEC1,Q9Y238
nucleoplasm,ENSG00000042493,CAPG,P40121
cytosol,ENSG00000106305,AIMP2,Q13155
cytosol,ENSG00000142156,COL6A1,P12109
nucleoplasm,ENSG00000171223,JUNB,P17275
nucleoplasm,ENSG00000118260,CREB1,P16220
nucleoplasm,ENSG00000177565,TBL1XR1,Q9BZK7
nucleoplasm,ENSG00000127399,LRRC61,Q9BV99
cytosol,ENSG00000177409,SAMD9L,Q8IVG5
cytosol,ENSG00000049246,PER3,P56645
nucleoplasm,ENSG00000006744,ELAC2,Q9BQ52
nucleoplasm,ENSG00000005007,UPF1,Q92900
nucleoplasm,ENSG00000198160,MIER1,Q8N108
cytosol,ENSG00000128578,STRIP2,Q9ULQ0
cytosol,ENSG00000204178,TMEM57,Q8N5G2
nucleoplasm,ENSG00000164985,PSIP1,O75475
cytosol,ENSG00000106605,BLVRA,P53004
cytosol,ENSG00000171174,RBKS,Q9H477
cytosol,ENSG00000048828,FAM120A,Q9NZB2
nucleoplasm,ENSG00000157741,UBN2,Q6ZU65
cytosol,ENSG00000100106,TRIOBP,Q9H2D6
cytosol,ENSG00000170776,AKAP13,Q12802
nucleoplasm,ENSG00000162775,RBM15,Q96T37
cytosol,ENSG00000161048,NAPEPLD,Q6IQ20
nucleoplasm,ENSG00000158941,CCAR2,Q8N163
nucleoplasm,ENSG00000112208,BAG2,O95816
nucleoplasm,ENSG00000184924,PTRHD1,Q6GMV3
cytosol,ENSG00000170946,DNAJC24,
nucleoplasm,ENSG00000108654,DDX5,P17844
nucleoplasm,ENSG00000164754,RAD21,O60216
nucleoplasm,ENSG00000166016,ABTB2,Q8N961
cytosol,ENSG00000184545,DUSP8,Q13202
nucleoplasm,ENSG00000178295,GEN1,Q17RS7
nucleoplasm,ENSG00000204947,ZNF425,Q6IV72
nucleoplasm,ENSG00000128607,KLHDC10,Q6PID8
cytosol,ENSG00000106608,URGCP,Q8TCY9
cytosol,ENSG00000091128,LAMB4,A4D0S4
nucleoplasm,ENSG00000188986,NELFB,Q8WX92
nucleoplasm,ENSG00000158525,CPA5,Q8WXQ8
nucleoplasm,ENSG00000111266,DUSP16,Q9BY84
nucleoplasm,ENSG00000138375,SMARCAL1,Q9NZC9
nucleoplasm,ENSG00000148153,INIP,Q9NRY2
cytosol,ENSG00000146858,ZC3HAV1L,Q96H79
nucleoplasm,ENSG00000101349,PAK7,Q9P286
nucleoplasm,ENSG00000155636,RBM45,Q8IUH3
cytosol,ENSG00000061676,NCKAP1,Q9Y2A7
cytosol,ENSG00000115866,DARS,P14868
cytosol,ENSG00000197776,KLHDC1,Q8N7A1
cytosol,ENSG00000222011,FAM185A,Q8N0U4
nucleoplasm,ENSG00000107371,EXOSC3,Q9NQT5
nucleoplasm,ENSG00000205085,FAM71F2,Q6NXP2
cytosol,ENSG00000134996,OSTF1,Q92882
cytosol,ENSG00000142864,SERBP1,Q8NC51
cytosol,ENSG00000127080,IPPK,Q9H8X2
cytosol,ENSG00000135248,FAM71F1,Q96KD3
cytosol,ENSG00000126453,BCL2L12,Q9HB09
nucleoplasm,ENSG00000139154,AEBP2,Q6ZN18
nucleoplasm,ENSG00000159915,ZNF233,A6NK53
cytosol,ENSG00000108786,HSD17B1,P14061
cytosol,ENSG00000166147,FBN1,P35555
cytosol,ENSG00000115687,PASK,Q96RG2
nucleoplasm,ENSG00000151612,ZNF827,Q17R98
cytosol,ENSG00000106993,CDC37L1,Q7L3B6
cytosol,ENSG00000167112,TRUB2,O95900
nucleoplasm,ENSG00000139613,SMARCC2,Q8TAQ2
cytosol,ENSG00000240230,COX19,Q49B96
cytosol,ENSG00000157653,C9orf43,Q8TAL5
nucleoplasm,ENSG00000109118,PHF12,Q96QT6
cytosol,ENSG00000278259,MYO19,Q96H55
cytosol,ENSG00000141279,NPEPPS,P55786
nucleoplasm,ENSG00000133195,SLC39A11,Q8N1S5
nucleoplasm,ENSG00000028310,BRD9,Q9H8M2
cytosol,ENSG00000141985,SH3GL1,Q99961
cytosol,ENSG00000184792,OSBP2,Q969R2
nucleoplasm,ENSG00000173875,ZNF791,Q3KP31
nucleoplasm,ENSG00000205189,ZBTB10,Q96DT7
nucleoplasm,ENSG00000176994,SMCR8,Q8TEV9
nucleoplasm,ENSG00000181222,POLR2A,P24928
nucleoplasm,ENSG00000166716,ZNF592,Q92610
nucleoplasm,ENSG00000136813,KIAA0368,Q5VYK3
nucleoplasm,ENSG00000159259,CHAF1B,Q13112
cytosol,ENSG00000137073,UBAP2,Q5T6F2
nucleoplasm,ENSG00000184863,RBM33,Q96EV2
nucleoplasm,ENSG00000127993,RBM48,Q5RL73
cytosol,ENSG00000139726,DENR,O43583
nucleoplasm,ENSG00000108559,NUP88,Q99567
cytosol,ENSG00000148356,LRSAM1,Q6UWE0
nucleoplasm,ENSG00000141543,EIF4A3,P38919
cytosol,ENSG00000141294,LRRC46,Q96FV0
nucleoplasm,ENSG00000167011,NAT16,Q8N8M0
cytosol,ENSG00000116791,CRYZ,Q08257
nucleoplasm,ENSG00000157680,DGKI,O75912
cytosol,ENSG00000083454,P2RX5,Q93086
cytosol,ENSG00000109089,CDR2L,Q86X02
nucleoplasm,ENSG00000006282,SPATA20,Q8TB22
nucleoplasm,ENSG00000124813,RUNX2,Q13950
cytosol,ENSG00000135766,EGLN1,Q9GZT9
nucleoplasm,ENSG00000115966,ATF2,P15336
cytosol,ENSG00000108381,ASPA,P45381
nucleoplasm,ENSG00000115252,PDE1A,P54750
cytosol,ENSG00000131711,MAP1B,P46821
nucleoplasm,ENSG00000148143,ZNF462,Q96JM2
cytosol,ENSG00000129167,TPH1,P17752
nucleoplasm,ENSG00000121104,FAM117A,Q9C073
nucleoplasm,ENSG00000138867,GUCD1,Q96NT3
nucleoplasm,ENSG00000188895,MSL1,Q68DK7
cytosol,ENSG00000125877,ITPA,Q9BY32
nucleoplasm,ENSG00000184619,KRBA2,Q6ZNG9
nucleoplasm,ENSG00000108387,04-sep,O43236
cytosol,ENSG00000167183,PRR15L,Q9BU68
cytosol,ENSG00000018189,RUFY3,Q7L099
cytosol,ENSG00000129245,FXR2,P51116
nucleoplasm,ENSG00000167716,WDR81,Q562E7
nucleoplasm,ENSG00000198795,ZNF521,Q96K83
nucleoplasm,ENSG00000173894,CBX2,Q14781
cytosol,ENSG00000120915,EPHX2,P34913
cytosol,ENSG00000147677,EIF3H,O15372
cytosol,ENSG00000104722,NEFM,P07197
cytosol,ENSG00000170921,TANC2,Q9HCD6
cytosol,ENSG00000170291,ELP5,Q8TE02
cytosol,ENSG00000171953,ATPAF2,Q8N5M1
cytosol,ENSG00000188522,FAM83G,A6ND36
cytosol,ENSG00000180329,CCDC43,Q96MW1
cytosol,ENSG00000135686,KLHL36,Q8N4N3
nucleoplasm,ENSG00000186017,ZNF566,Q969W8
cytosol,ENSG00000167377,ZNF23,P17027
cytosol,ENSG00000275066,SYNRG,Q9UMZ2
cytosol,ENSG00000175029,CTBP2,P56545
cytosol,ENSG00000164134,NAA15,Q9BXJ9
nucleoplasm,ENSG00000130222,GADD45G,O95257
cytosol,ENSG00000125458,NT5C,Q8TCD5
cytosol,ENSG00000020129,NCDN,Q9UBB6
nucleoplasm,ENSG00000163348,PYGO2,Q9BRQ0
nucleoplasm,ENSG00000146670,CDCA5,Q96FF9
cytosol,ENSG00000104450,SPAG1,Q07617
nucleoplasm,ENSG00000133704,IPO8,O15397
nucleoplasm,ENSG00000005700,IBTK,Q9P2D0
nucleoplasm,ENSG00000140743,CDR2,Q01850
cytosol,ENSG00000133138,TBC1D8B,Q0IIM8
nucleoplasm,ENSG00000177125,ZBTB34,Q8NCN2
nucleoplasm,ENSG00000171408,PDE7B,Q9NP56
cytosol,ENSG00000179477,ALOX12B,O75342
nucleoplasm,ENSG00000172466,ZNF24,P17028
nucleoplasm,ENSG00000119125,GDA,Q9Y2T3
nucleoplasm,ENSG00000180347,CCDC129,Q6ZRS4
nucleoplasm,ENSG00000091127,PUS7,Q96PZ0
cytosol,ENSG00000155313,USP25,Q9UHP3
nucleoplasm,ENSG00000163666,HESX1,Q9UBX0
nucleoplasm,ENSG00000105875,WDR91,A4D1P6
nucleoplasm,ENSG00000164684,ZNF704,Q6ZNC4
nucleoplasm,ENSG00000158106,RHPN1,Q8TCX5
nucleoplasm,ENSG00000001460,STPG1,Q5TH74
nucleoplasm,ENSG00000121413,ZSCAN18,Q8TBC5
nucleoplasm,ENSG00000099783,HNRNPM,P52272
nucleoplasm,ENSG00000173473,SMARCC1,Q92922
nucleoplasm,ENSG00000196284,SUPT3H,O75486
nucleoplasm,ENSG00000136982,DSCC1,Q9BVC3
cytosol,ENSG00000162909,CAPN2,P17655
cytosol,ENSG00000180921,FAM83H,Q6ZRV2
cytosol,ENSG00000136193,SCRN1,Q12765
nucleoplasm,ENSG00000108094,CUL2,Q13617
cytosol,ENSG00000058085,LAMC2,Q13753
cytosol,ENSG00000188523,CFAP77,Q6ZQR2
nucleoplasm,ENSG00000104728,ARHGEF10,O15013
cytosol,ENSG00000171431,KRT20,P35900
cytosol,ENSG00000168481,LGI3,Q8N145
nucleoplasm,ENSG00000167447,SMG8,Q8ND04
nucleoplasm,ENSG00000164983,TMEM65,Q6PI78
cytosol,ENSG00000075151,EIF4G3,O43432
nucleoplasm,ENSG00000265817,FSBP,O95073
nucleoplasm,ENSG00000037637,FBXO42,Q6P3S6
nucleoplasm,ENSG00000010072,SPRTN,Q9H040
cytosol,ENSG00000118508,RAB32,Q13637
nucleoplasm,ENSG00000118482,PHF3,Q92576
nucleoplasm,ENSG00000160957,RECQL4,
nucleoplasm,ENSG00000043143,JADE2,Q9NQC1
nucleoplasm,ENSG00000167766,ZNF83,P51522
nucleoplasm,ENSG00000198300,PEG3,Q9GZU2
nucleoplasm,ENSG00000125944,HNRNPR,O43390
nucleoplasm,ENSG00000094631,HDAC6,Q9UBN7
nucleoplasm,ENSG00000126067,PSMB2,P49721
nucleoplasm,ENSG00000136383,ALPK3,Q96L96
cytosol,ENSG00000111665,CDCA3,Q99618
nucleoplasm,ENSG00000119772,DNMT3A,Q9Y6K1
cytosol,ENSG00000102445,KIAA0226L,Q9H714
nucleoplasm,ENSG00000147854,UHRF2,Q96PU4
nucleoplasm,ENSG00000263001,GTF2I,P78347
nucleoplasm,ENSG00000183888,C1orf64,Q8NEQ6
nucleoplasm,ENSG00000106628,POLD2,P49005
cytosol,ENSG00000171103,TRMT61B,Q9BVS5
cytosol,ENSG00000188732,FAM221A,A4D161
nucleoplasm,ENSG00000117691,NENF,Q9UMX5
cytosol,ENSG00000136011,STAB2,Q8WWQ8
nucleoplasm,ENSG00000169193,CCDC126,Q96EE4
cytosol,ENSG00000120820,GLT8D2,Q9H1C3
cytosol,ENSG00000164096,C4orf3,Q8WVX3
nucleoplasm,ENSG00000159596,TMEM69,Q5SWH9
cytosol,ENSG00000105141,CASP14,P31944
cytosol,ENSG00000142512,SIGLEC10,Q96LC7
nucleoplasm,ENSG00000120278,PLEKHG1,Q9ULL1
nucleoplasm,ENSG00000120539,MASTL,Q96GX5
cytosol,ENSG00000117148,ACTL8,Q9H568
cytosol,ENSG00000090273,NUDC,Q9Y266
cytosol,ENSG00000116285,ERRFI1,Q9UJM3
nucleoplasm,ENSG00000173681,CXorf23,A2AJT9
cytosol,ENSG00000090621,PABPC4,Q13310
nucleoplasm,ENSG00000156345,CDK20,Q8IZL9
cytosol,ENSG00000006611,USH1C,Q9Y6N9
nucleoplasm,ENSG00000130772,MED18,Q9BUE0
cytosol,ENSG00000116903,EXOC8,Q8IYI6
nucleoplasm,ENSG00000198208,RPS6KL1,Q9Y6S9
cytosol,ENSG00000163482,STK36,Q9NRP7
cytosol,ENSG00000124713,GNMT,Q14749
nucleoplasm,ENSG00000186141,POLR3C,Q9BUI4
cytosol,ENSG00000169224,GCSAML,Q5JQS6
nucleoplasm,ENSG00000114026,OGG1,O15527
nucleoplasm,ENSG00000136451,VEZF1,Q14119
cytosol,ENSG00000077044,DGKD,Q16760
nucleoplasm,ENSG00000109705,NKX3-2,P78367
nucleoplasm,ENSG00000187147,RNF220,Q5VTB9
cytosol,ENSG00000129048,ACKR4,Q9NPB9
nucleoplasm,ENSG00000110092,CCND1,P24385
nucleoplasm,ENSG00000197852,FAM212B,Q9NTI7
nucleoplasm,ENSG00000168264,IRF2BP2,Q7Z5L9
cytosol,ENSG00000066654,THUMPD1,Q9NXG2
nucleoplasm,ENSG00000083097,DOPEY1,Q5JWR5
cytosol,ENSG00000110395,CBL,P22681
nucleoplasm,ENSG00000137996,RTCA,O00442
nucleoplasm,ENSG00000171060,C8orf74,Q6P047
nucleoplasm,ENSG00000082701,GSK3B,P49841
nucleoplasm,ENSG00000163155,LYSMD1,Q96S90
cytosol,ENSG00000004660,CAMKK1,Q8N5S9
cytosol,"ENSG00000142789,ENSG00000219073","CELA3A,CELA3B","P09093,P08861"
nucleoplasm,ENSG00000004897,CDC27,P30260
nucleoplasm,ENSG00000132780,NASP,P49321
cytosol,ENSG00000143740,SNAP47,Q5SQN1
nucleoplasm,ENSG00000158716,DUSP23,Q9BVJ7
nucleoplasm,ENSG00000122180,MYOG,P15173
nucleoplasm,ENSG00000162607,USP1,O94782
cytosol,ENSG00000157330,C1orf158,Q8N1D5
nucleoplasm,ENSG00000168874,ATOH8,Q96SQ7
cytosol,ENSG00000143363,PRUNE,Q86TP1
cytosol,ENSG00000163431,LMOD1,P29536
nucleoplasm,ENSG00000132881,RSG1,Q9BU20
nucleoplasm,ENSG00000160741,CRTC2,Q53ET0
cytosol,ENSG00000127129,EDN2,P20800
nucleoplasm,ENSG00000142856,ITGB3BP,Q13352
cytosol,ENSG00000160753,RUSC1,Q9BVN2
nucleoplasm,ENSG00000105204,DYRK1B,Q9Y463
cytosol,ENSG00000142920,AZIN2,Q96A70
nucleoplasm,ENSG00000188786,MTF1,Q14872
cytosol,ENSG00000243710,CFAP57,Q96MR6
cytosol,ENSG00000143256,PFDN2,Q9UHV9
cytosol,ENSG00000007923,DNAJC11,Q9NVH1
nucleoplasm,ENSG00000100068,LRP5L,A4QPB2
cytosol,ENSG00000173281,PPP1R3B,Q86XI6
cytosol,ENSG00000204084,INPP5B,P32019
cytosol,ENSG00000150893,FREM2,Q5SZK8
nucleoplasm,ENSG00000112200,ZNF451,Q9Y4E5
nucleoplasm,ENSG00000198040,ZNF84,P51523
nucleoplasm,ENSG00000182247,UBE2E2,Q96LR5
cytosol,ENSG00000129562,DAD1,P61803
nucleoplasm,ENSG00000100410,PHF5A,Q7RTV0
nucleoplasm,ENSG00000103241,FOXF1,Q12946
cytosol,ENSG00000137474,MYO7A,Q13402
nucleoplasm,ENSG00000048052,HDAC9,Q9UKV0
nucleoplasm,ENSG00000273841,TAF9,Q16594
nucleoplasm,ENSG00000085999,RAD54L,Q92698
cytosol,ENSG00000150977,RILPL2,Q969X0
cytosol,ENSG00000042286,AIFM2,Q9BRQ8
nucleoplasm,ENSG00000167384,ZNF180,Q9UJW8
nucleoplasm,ENSG00000119866,BCL11A,Q9H165
nucleoplasm,ENSG00000010030,ETV7,Q9Y603
nucleoplasm,ENSG00000112029,FBXO5,Q9UKT4
nucleoplasm,ENSG00000177853,ZNF518A,Q6AHZ1
cytosol,ENSG00000185189,NRBP2,Q9NSY0
nucleoplasm,ENSG00000178338,ZNF354B,Q96LW1
nucleoplasm,ENSG00000171634,BPTF,Q12830
nucleoplasm,ENSG00000130988,RGN,Q15493
cytosol,ENSG00000198862,LTN1,O94822
nucleoplasm,ENSG00000105997,HOXA3,O43365
nucleoplasm,ENSG00000131100,ATP6V1E1,P36543
cytosol,ENSG00000163904,SENP2,Q9HC62
nucleoplasm,ENSG00000196235,SUPT5H,O00267
nucleoplasm,ENSG00000123505,AMD1,P17707
nucleoplasm,ENSG00000267041,ZNF850,A8MQ14
cytosol,ENSG00000075234,TTC38,Q5R3I4
nucleoplasm,ENSG00000023608,SNAPC1,Q16533
nucleoplasm,ENSG00000144028,SNRNP200,O75643
nucleoplasm,ENSG00000130818,ZNF426,Q9BUY5
cytosol,ENSG00000165219,GAPVD1,Q14C86
nucleoplasm,ENSG00000156802,ATAD2,Q6PL18
cytosol,ENSG00000115661,STK16,O75716
nucleoplasm,ENSG00000198556,ZNF789,Q5FWF6
cytosol,ENSG00000067225,PKM,P14618
cytosol,ENSG00000146733,PSPH,P78330
nucleoplasm,ENSG00000119042,SATB2,Q9UPW6
nucleoplasm,ENSG00000176092,AIM1L,Q8N1P7
nucleoplasm,ENSG00000008018,PSMB1,P20618
cytosol,ENSG00000272031,ANKRD34A,Q69YU3
cytosol,ENSG00000187997,C17orf99,Q6UX52
cytosol,ENSG00000100321,SYNGR1,O43759
cytosol,ENSG00000164494,PDSS2,Q86YH6
nucleoplasm,ENSG00000116478,HDAC1,Q13547
nucleoplasm,ENSG00000107485,GATA3,P23771
cytosol,ENSG00000198796,ALPK2,Q86TB3
cytosol,ENSG00000196305,IARS,P41252
nucleoplasm,ENSG00000120738,EGR1,P18146
cytosol,ENSG00000136628,EPRS,P07814
nucleoplasm,ENSG00000125618,PAX8,Q06710
nucleoplasm,ENSG00000156265,MAP3K7CL,P57077
cytosol,ENSG00000131236,CAP1,Q01518
nucleoplasm,ENSG00000143450,OAZ3,Q9UMX2
nucleoplasm,ENSG00000137218,FRS3,O43559
cytosol,ENSG00000189410,SH2D5,Q6ZV89
nucleoplasm,ENSG00000183814,LIN9,Q5TKA1
cytosol,ENSG00000069956,MAPK6,Q16659
nucleoplasm,ENSG00000061455,PRDM6,Q9NQX0
nucleoplasm,ENSG00000146281,PM20D2,Q8IYS1
cytosol,ENSG00000103197,TSC2,P49815
cytosol,ENSG00000108039,XPNPEP1,Q9NQW7
nucleoplasm,ENSG00000048140,TSPAN17,Q96FV3
nucleoplasm,ENSG00000111875,ASF1A,Q9Y294
cytosol,ENSG00000112308,C6orf62,Q9GZU0
cytosol,ENSG00000120784,ZFP30,Q9Y2G7
cytosol,ENSG00000103316,CRYM,Q14894
nucleoplasm,ENSG00000147180,ZNF711,Q9Y462
nucleoplasm,ENSG00000158796,DEDD,O75618
nucleoplasm,ENSG00000177602,GSG2,Q8TF76
cytosol,ENSG00000138658,ZGRF1,Q86YA3
nucleoplasm,ENSG00000198046,ZNF667,Q5HYK9
cytosol,ENSG00000134057,CCNB1,P14635
nucleoplasm,ENSG00000133997,MED6,O75586
nucleoplasm,ENSG00000158169,FANCC,Q00597
cytosol,ENSG00000213585,VDAC1,P21796
nucleoplasm,ENSG00000167281,RBFOX3,A6NFN3
cytosol,ENSG00000142675,CNKSR1,Q969H4
cytosol,ENSG00000186051,TAL2,Q16559
nucleoplasm,ENSG00000249481,SPATS1,Q496A3
nucleoplasm,ENSG00000157617,C2CD2,Q9Y426
nucleoplasm,ENSG00000035115,SH3YL1,Q96HL8
nucleoplasm,ENSG00000004700,RECQL,P46063
cytosol,ENSG00000107175,CREB3,O43889
cytosol,ENSG00000084693,AGBL5,Q8NDL9
nucleoplasm,ENSG00000171453,POLR1C,O15160
nucleoplasm,ENSG00000251192,ZNF674,Q2M3X9
nucleoplasm,ENSG00000166484,MAPK7,Q13164
nucleoplasm,ENSG00000112511,PHF1,O43189
cytosol,ENSG00000198932,GPRASP1,Q5JY77
cytosol,ENSG00000149100,EIF3M,Q7L2H7
cytosol,ENSG00000100994,PYGB,P11216
nucleoplasm,ENSG00000096060,FKBP5,Q13451
nucleoplasm,ENSG00000221955,SLC12A8,A0AV02
nucleoplasm,ENSG00000111877,MCM9,Q9NXL9
cytosol,ENSG00000124749,COL21A1,Q96P44
nucleoplasm,ENSG00000178163,ZNF518B,Q9C0D4
cytosol,ENSG00000241127,YAE1D1,Q9NRH1
nucleoplasm,ENSG00000165097,KDM1B,Q8NB78
nucleoplasm,ENSG00000186020,ZNF529,Q6P280
cytosol,ENSG00000197128,ZNF772,Q68DY9
nucleoplasm,ENSG00000184887,BTBD6,Q96KE9
cytosol,ENSG00000124772,CPNE5,Q9HCH3
cytosol,ENSG00000085377,PREP,P48147
nucleoplasm,ENSG00000243943,ZNF512,Q96ME7
nucleoplasm,ENSG00000025156,HSF2,Q03933
nucleoplasm,ENSG00000141570,CBX8,Q9HC52
cytosol,ENSG00000154734,ADAMTS1,Q9UHI8
cytosol,ENSG00000137269,LRRC1,Q9BTT6
nucleoplasm,ENSG00000111676,ATN1,P54259
cytosol,ENSG00000155363,MOV10,Q9HCE1
nucleoplasm,ENSG00000134086,VHL,P40337
nucleoplasm,ENSG00000100918,REC8,O95072
nucleoplasm,ENSG00000137413,TAF8,Q7Z7C8
nucleoplasm,ENSG00000124535,WRNIP1,Q96S55
nucleoplasm,ENSG00000100625,SIX4,Q9UIU6
nucleoplasm,ENSG00000111653,ING4,Q9UNL4
cytosol,ENSG00000115514,TXNDC9,O14530
nucleoplasm,ENSG00000183431,SF3A3,Q12874
nucleoplasm,ENSG00000162755,KLHDC9,Q8NEP7
cytosol,ENSG00000160285,LSS,P48449
nucleoplasm,ENSG00000170430,MGMT,P16455
cytosol,ENSG00000139826,ABHD13,Q7L211
nucleoplasm,ENSG00000198728,LDB1,Q86U70
nucleoplasm,ENSG00000141086,CTRL,P40313
cytosol,ENSG00000168209,DDIT4,Q9NX09
cytosol,ENSG00000198075,SULT1C4,O75897
nucleoplasm,ENSG00000005302,MSL3,Q8N5Y2
nucleoplasm,ENSG00000153779,TGIF2LX,Q8IUE1
nucleoplasm,ENSG00000119778,ATAD2B,Q9ULI0
cytosol,ENSG00000138316,ADAMTS14,Q8WXS8
nucleoplasm,ENSG00000171004,HS6ST2,Q96MM7
cytosol,ENSG00000185838,GNB1L,Q9BYB4
nucleoplasm,ENSG00000169621,APLF,Q8IW19
nucleoplasm,ENSG00000143970,ASXL2,Q76L83
nucleoplasm,ENSG00000144524,COPS7B,Q9H9Q2
nucleoplasm,ENSG00000153157,SYCP2L,Q5T4T6
cytosol,ENSG00000115841,RMDN2,Q96LZ7
nucleoplasm,ENSG00000088247,KHSRP,Q92945
cytosol,ENSG00000198520,C1orf228,Q6PIY5
nucleoplasm,ENSG00000168883,USP39,Q53GS9
nucleoplasm,ENSG00000115128,SF3B6,Q9Y3B4
cytosol,ENSG00000060138,YBX3,P16989
nucleoplasm,ENSG00000159256,MORC3,Q14149
nucleoplasm,ENSG00000125122,LRRC29,Q8WV35
nucleoplasm,ENSG00000163029,SMC6,Q96SB8
cytosol,ENSG00000124659,TBCC,Q15814
cytosol,ENSG00000065308,TRAM2,Q15035
cytosol,ENSG00000213139,CRYGS,P22914
cytosol,ENSG00000145819,ARHGAP26,Q9UNA1
nucleoplasm,ENSG00000177138,FAM9B,Q8IZU0
cytosol,ENSG00000073792,IGF2BP2,Q9Y6M1
nucleoplasm,ENSG00000144840,RABL3,Q5HYI8
nucleoplasm,ENSG00000163806,SPDYA,Q5MJ70
nucleoplasm,ENSG00000253729,PRKDC,P78527
nucleoplasm,ENSG00000077713,SLC25A43,Q8WUT9
cytosol,ENSG00000115970,THADA,Q6YHU6
nucleoplasm,ENSG00000135100,HNF1A,
nucleoplasm,ENSG00000121988,ZRANB3,Q5FWF4
nucleoplasm,ENSG00000170634,ACYP2,P14621
nucleoplasm,ENSG00000189195,BTBD8,
nucleoplasm,ENSG00000243667,WDR92,Q96MX6
cytosol,ENSG00000119865,CNRIP1,Q96F85
nucleoplasm,ENSG00000100023,PPIL2,Q13356
nucleoplasm,ENSG00000138231,DBR1,Q9UK59
nucleoplasm,ENSG00000198909,MAP3K3,Q99759
cytosol,ENSG00000123600,METTL8,
nucleoplasm,ENSG00000161217,PCYT1A,P49585
nucleoplasm,ENSG00000143891,GALM,Q96C23
nucleoplasm,ENSG00000168016,TRANK1,O15050
nucleoplasm,ENSG00000144591,GMPPA,Q96IJ6
nucleoplasm,ENSG00000115241,PPM1G,O15355
nucleoplasm,ENSG00000163320,CGGBP1,Q9UFW8
nucleoplasm,ENSG00000168137,SETD5,Q9C0A6
cytosol,ENSG00000147255,IGSF1,Q8N6C5
nucleoplasm,ENSG00000213079,SCAF8,Q9UPN6
nucleoplasm,ENSG00000105258,POLR2I,P36954
cytosol,ENSG00000072832,CRMP1,Q14194
cytosol,ENSG00000144596,GRIP2,
nucleoplasm,ENSG00000124787,RPP40,O75818
nucleoplasm,ENSG00000139651,ZNF740,Q8NDX6
cytosol,ENSG00000172824,CES4A,Q5XG92
cytosol,ENSG00000144034,TPRKB,Q9Y3C4
cytosol,ENSG00000111897,SERINC1,Q9NRX5
cytosol,ENSG00000119574,ZBTB45,Q96K62
cytosol,ENSG00000251664,PCDHA12,Q9UN75
nucleoplasm,ENSG00000099284,H2AFY2,Q9P0M6
nucleoplasm,ENSG00000118579,MED28,Q9H204
nucleoplasm,ENSG00000156463,SH3RF2,Q8TEC5
nucleoplasm,ENSG00000019102,VSIG2,Q96IQ7
