level_b,ensg_id,gene_name,uniprot_id
nucleoplasm,ENSG00000184634,MED12,Q93074
cytosol,ENSG00000166226,CCT2,P78371
cytosol,"ENSG00000169951,ENSG00000169955","ZNF764,ZNF747","Q96H86,Q9BV97"
nucleoplasm,ENSG00000147130,ZMYM3,Q14202
cytosol,ENSG00000120265,PCMT1,P22061
cytosol,ENSG00000151967,SCHIP1,Q9P0W5
nucleoplasm,ENSG00000196453,ZNF777,Q9ULD5
nucleoplasm,ENSG00000154727,GABPA,Q06546
nucleoplasm,ENSG00000113578,FGF1,P05230
cytosol,ENSG00000123240,OPTN,Q96CV9
nucleoplasm,ENSG00000164458,T,O15178
cytosol,ENSG00000156587,UBE2L6,O14933
nucleoplasm,ENSG00000164109,MAD2L1,Q13257
cytosol,ENSG00000147010,SH3KBP1,Q96B97
nucleoplasm,ENSG00000167182,SP2,Q02086
nucleoplasm,ENSG00000151876,FBXO4,Q9UKT5
nucleoplasm,ENSG00000132879,FBXO44,Q9H4M3
cytosol,ENSG00000125691,RPL23,P62829
cytosol,ENSG00000126773,PCNXL4,Q63HM2
cytosol,ENSG00000116679,IVNS1ABP,Q9Y6Y0
nucleoplasm,ENSG00000119681,LTBP2,Q14767
nucleoplasm,ENSG00000185630,PBX1,P40424
nucleoplasm,ENSG00000065802,ASB1,Q9Y576
cytosol,ENSG00000129675,ARHGEF6,Q15052
nucleoplasm,ENSG00000100897,DCAF11,Q8TEB1
nucleoplasm,ENSG00000071859,FAM50A,Q14320
nucleoplasm,ENSG00000154473,BUB3,O43684
cytosol,ENSG00000169093,ASMTL,O95671
cytosol,ENSG00000089127,OAS1,P00973
nucleoplasm,ENSG00000166526,ZNF3,P17036
nucleoplasm,ENSG00000111880,RNGTT,O60942
nucleoplasm,ENSG00000185947,ZNF267,Q14586
nucleoplasm,ENSG00000114861,FOXP1,Q9H334
nucleoplasm,ENSG00000005889,ZFX,P17010
nucleoplasm,"ENSG00000167081,ENSG00000185630","PBX3,PBX1","P40426,P40424"
cytosol,ENSG00000136717,BIN1,O00499
cytosol,ENSG00000103275,UBE2I,P63279
nucleoplasm,ENSG00000073584,SMARCE1,Q969G3
cytosol,ENSG00000105401,CDC37,Q16543
nucleoplasm,ENSG00000172818,OVOL1,O14753
nucleoplasm,ENSG00000187690,CXorf67,Q86X51
nucleoplasm,ENSG00000275023,MLLT6,
nucleoplasm,ENSG00000126746,ZNF384,Q8TF68
cytosol,ENSG00000145907,G3BP1,Q13283
nucleoplasm,ENSG00000169946,ZFPM2,Q8WW38
nucleoplasm,ENSG00000152977,ZIC1,Q15915
cytosol,"ENSG00000038210,ENSG00000281028","PI4K2B,RP11-717K11.2",Q8TCG2
cytosol,ENSG00000000003,TSPAN6,O43657
cytosol,ENSG00000165506,DNAAF2,Q9NVR5
nucleoplasm,ENSG00000102974,CTCF,P49711
cytosol,ENSG00000166986,MARS,P56192
nucleoplasm,ENSG00000197013,ZNF429,Q86V71
nucleoplasm,ENSG00000166337,TAF10,Q12962
