# loss	acc	val_loss	val_acc
6.833139752584790338e-01	5.990476173067850185e-01	6.791745755407545548e-01	5.944444470935397185e-01
6.724240410895574449e-01	6.184126990182059469e-01	6.754790743192037317e-01	5.944444470935397185e-01
6.732663919055272839e-01	6.185714252411372849e-01	6.763092411888970146e-01	5.944444470935397185e-01
6.685039817340789892e-01	6.200000009839496951e-01	6.764231920242309570e-01	5.944444470935397185e-01
6.678183646429152187e-01	6.198412671921744721e-01	6.752227942148844031e-01	5.944444470935397185e-01
6.669145141329083648e-01	6.196825390770321906e-01	6.743564671940274202e-01	5.944444470935397185e-01
6.655083270300001796e-01	6.201587300451975038e-01	6.738560597101846961e-01	5.944444470935397185e-01
6.650165205910092414e-01	6.201587300451975038e-01	6.754320197635226286e-01	5.944444470935397185e-01
6.626737893573821925e-01	6.199999995647914597e-01	6.746595899264017371e-01	5.944444470935397185e-01
6.629448996649848214e-01	6.199999990917387516e-01	6.767222881317138672e-01	5.944444470935397185e-01
6.590403356249370237e-01	6.195238100157843819e-01	6.750254763497246513e-01	5.944444470935397185e-01
6.572345712828258080e-01	6.198412709765963591e-01	6.779759393797980538e-01	5.944444470935397185e-01
6.548404277317108058e-01	6.193650795353783378e-01	6.814497974183824081e-01	5.944444470935397185e-01
6.541442691333709814e-01	6.195238100157843819e-01	6.755885548061795198e-01	5.944444470935397185e-01
6.497639379804096560e-01	6.214285682118128040e-01	6.766261921988593331e-01	5.944444470935397185e-01
6.481037385880000778e-01	6.211111119815281301e-01	6.791596942477755583e-01	5.944444470935397185e-01
6.422099064266870716e-01	6.239682530599927057e-01	6.798140737745497209e-01	5.944444470935397185e-01
